squad,metric,mean,median,std
Arsenal,minutes,1698.909,1657.5,919.732
Arsenal,min_90s,18.877,18.4,10.224
Arsenal,gls,3.045,2.5,2.836
Arsenal,ast,2.5,2.0,2.872
Arsenal,g_plus_a,5.545,3.5,5.016
Arsenal,g_minus_pk,2.955,2.0,2.804
Arsenal,pk,0.091,0.0,0.287
Arsenal,pkatt,0.091,0.0,0.287
Arsenal,crdy,3.182,3.5,1.874
Arsenal,crdr,0.273,0.0,0.538
Arsenal,per90_gls,0.175,0.125,0.155
Arsenal,per90_ast,0.131,0.11,0.135
Arsenal,per90_g_a,0.306,0.31,0.219
Arsenal,per90_g_minus_pk,0.17,0.12,0.154
Arsenal,per90_g_a_minus_pk,0.302,0.31,0.213
Aston Villa,minutes,1339.393,1129.5,1002.412
Aston Villa,min_90s,14.882,12.55,11.136
Aston Villa,gls,2.0,1.0,3.359
Aston Villa,ast,1.607,0.0,2.65
Aston Villa,g_plus_a,3.607,2.5,5.46
Aston Villa,g_minus_pk,1.893,1.0,3.075
Aston Villa,pk,0.107,0.0,0.409
Aston Villa,pkatt,0.214,0.0,0.558
Aston Villa,crdy,2.714,2.0,2.358
Aston Villa,crdr,0.143,0.0,0.35
Aston Villa,per90_gls,0.163,0.045,0.264
Aston Villa,per90_ast,0.082,0.0,0.112
Aston Villa,per90_g_a,0.245,0.12,0.309
Aston Villa,per90_g_minus_pk,0.153,0.045,0.257
Aston Villa,per90_g_a_minus_pk,0.235,0.12,0.294
Bournemouth,minutes,1558.25,1764.5,1088.688
Bournemouth,min_90s,17.312,19.6,12.103
Bournemouth,gls,2.375,1.0,3.626
Bournemouth,ast,1.708,1.0,1.968
Bournemouth,g_plus_a,4.083,2.0,5.123
Bournemouth,g_minus_pk,2.125,1.0,3.127
Bournemouth,pk,0.25,0.0,1.199
Bournemouth,pkatt,0.292,0.0,1.207
Bournemouth,crdy,4.042,3.0,3.142
Bournemouth,crdr,0.125,0.0,0.331
Bournemouth,per90_gls,0.156,0.04,0.209
Bournemouth,per90_ast,0.094,0.055,0.106
Bournemouth,per90_g_a,0.25,0.19,0.269
Bournemouth,per90_g_minus_pk,0.146,0.04,0.2
Bournemouth,per90_g_a_minus_pk,0.24,0.19,0.257
Brentford,minutes,1702.364,1681.5,1210.451
Brentford,min_90s,18.909,18.7,13.447
Brentford,gls,2.955,0.0,5.772
Brentford,ast,2.0,1.5,2.505
Brentford,g_plus_a,4.955,2.0,7.37
Brentford,g_minus_pk,2.727,0.0,5.163
Brentford,pk,0.227,0.0,1.041
Brentford,pkatt,0.273,0.0,1.25
Brentford,crdy,2.818,2.0,2.249
Brentford,crdr,0.045,0.0,0.208
Brentford,per90_gls,0.108,0.0,0.186
Brentford,per90_ast,0.086,0.08,0.088
Brentford,per90_g_a,0.194,0.125,0.231
Brentford,per90_g_minus_pk,0.102,0.0,0.174
Brentford,per90_g_a_minus_pk,0.188,0.125,0.219
Brighton,minutes,1339.643,1056.0,929.301
Brighton,min_90s,14.889,11.75,10.323
Brighton,gls,2.286,1.0,3.115
Brighton,ast,1.464,1.0,1.679
Brighton,g_plus_a,3.75,2.0,4.603
Brighton,g_minus_pk,2.036,1.0,2.706
Brighton,pk,0.25,0.0,0.95
Brighton,pkatt,0.25,0.0,0.95
Brighton,crdy,2.786,2.0,2.582
Brighton,crdr,0.107,0.0,0.309
Brighton,per90_gls,0.138,0.095,0.143
Brighton,per90_ast,0.092,0.03,0.123
Brighton,per90_g_a,0.23,0.155,0.228
Brighton,per90_g_minus_pk,0.124,0.095,0.126
Brighton,per90_g_a_minus_pk,0.216,0.155,0.208
Chelsea,minutes,1441.615,1117.5,1103.3
Chelsea,min_90s,16.015,12.4,12.263
Chelsea,gls,2.346,1.0,3.594
Chelsea,ast,1.808,1.0,2.254
Chelsea,g_plus_a,4.154,2.0,5.627
Chelsea,g_minus_pk,2.192,1.0,3.101
Chelsea,pk,0.154,0.0,0.769
Chelsea,pkatt,0.192,0.0,0.962
Chelsea,crdy,3.885,2.5,3.344
Chelsea,crdr,0.077,0.0,0.266
Chelsea,per90_gls,0.126,0.06,0.15
Chelsea,per90_ast,0.115,0.07,0.124
Chelsea,per90_g_a,0.243,0.15,0.251
Chelsea,per90_g_minus_pk,0.122,0.06,0.144
Chelsea,per90_g_a_minus_pk,0.239,0.15,0.245
Crystal Palace,minutes,1690.864,1743.0,1155.892
Crystal Palace,min_90s,18.791,19.4,12.851
Crystal Palace,gls,2.182,1.0,3.486
