squad,Total_Goals,Total_Assists,Total_G+A,Avg_Per90_Goals,Avg_Per90_Assists,Avg_Per90_G+A,Total_Minutes,Total_Matches,Offensive_Score
Liverpool,85,65,150,0.16,0.14,0.3,37498,581,54.4
Manchester City,71,51,122,0.18,0.1,0.28,37465,540,44.540000000000006
Arsenal,67,55,122,0.17,0.13,0.31,37376,557,44.23
Newcastle United,66,50,116,0.14,0.1,0.24,37536,579,42.120000000000005
Brentford,65,44,109,0.11,0.09,0.19,37452,540,39.77
Chelsea,61,47,108,0.13,0.12,0.24,37482,553,39.22
Tottenham Hotspur,61,46,107,0.13,0.11,0.23,37470,568,38.89
Brighton,64,41,105,0.14,0.09,0.23,37510,594,38.589999999999996
Aston Villa,56,45,101,0.16,0.08,0.24,37503,588,36.620000000000005
Nottingham Forest,57,42,99,0.12,0.09,0.2,37569,583,36.0
Bournemouth,57,41,98,0.16,0.09,0.25,37398,568,35.85
Fulham,53,44,97,0.15,0.09,0.25,37544,591,35.150000000000006
Wolves,53,42,95,0.11,0.09,0.2,37402,570,34.400000000000006
Crystal Palace,48,38,86,0.14,0.1,0.23,37199,553,31.290000000000003
West Ham United,43,29,72,0.09,0.08,0.17,37508,587,26.41
Manchester Utd,42,29,71,0.07,0.04,0.11,37460,577,25.83
Everton,39,27,66,0.1,0.08,0.18,37405,539,24.240000000000002
Ipswich Town,35,26,61,0.09,0.06,0.15,37373,593,22.25
Leicester City,33,25,58,0.06,0.06,0.12,37563,575,21.060000000000002
Southampton,25,16,41,0.05,0.04,0.1,37337,588,15.100000000000001
