squad,mean_ast,mean_crdr,mean_crdy,mean_g_plus_a,mean_gls,mean_minutes,mean_mp,mean_per90_ast,mean_per90_g_a,mean_per90_gls,mean_starts,median_ast,median_crdr,median_crdy,median_g_plus_a,median_gls,median_minutes,median_mp,median_per90_ast,median_per90_g_a,median_per90_gls,median_starts,std_ast,std_crdr,std_crdy,std_g_plus_a,std_gls,std_minutes,std_mp,std_per90_ast,std_per90_g_a,std_per90_gls,std_starts
Arsenal,2.5,0.2727272727272727,3.1818181818181817,5.545454545454546,3.0454545454545454,1698.909090909091,25.318181818181817,0.13136363636363638,0.3063636363636364,0.1745454545454546,19.0,2.0,0.0,3.5,3.5,2.5,1657.5,25.5,0.11,0.31,0.125,18.5,2.939873661036668,0.5504818825631804,1.9182423412211709,5.133709999111593,2.902827402104184,941.3754834633207,8.202127271317593,0.13826459983343375,0.22421387439643756,0.15894674977510317,10.770329614269007
Aston Villa,1.6071428571428572,0.14285714285714285,2.7142857142857144,3.607142857142857,2.0,1339.392857142857,21.0,0.08214285714285714,0.24500000000000002,0.16285714285714284,14.928571428571429,0.0,0.0,2.0,2.5,1.0,1129.5,22.0,0.0,0.12,0.045,11.0,2.698961195421589,0.35634832254989923,2.4014986502589935,5.560037874333336,3.4210676262979227,1020.8061207905183,11.238162496435807,0.11425627927819702,0.31510727156413354,0.26922188484672505,12.563700125622262
Bournemouth,1.7083333333333333,0.125,4.041666666666667,4.083333333333333,2.375,1558.25,23.666666666666668,0.09375,0.25,0.15583333333333335,17.375,1.0,0.0,3.0,2.0,1.0,1764.5,28.5,0.05500000000000001,0.19,0.04,19.5,2.01038968030247,0.3378319623460881,3.209756413169706,5.2329779257144295,3.70443330172869,1112.1033440405108,10.97691913166843,0.10789739489944583,0.27436884092324554,0.21313226484706763,12.873337798992013
Brentford,2.0,0.045454545454545456,2.8181818181818183,4.954545454545454,2.9545454545454546,1702.3636363636363,24.545454545454547,0.08636363636363636,0.19409090909090906,0.10818181818181817,19.0,1.5,0.0,2.0,2.0,0.0,1681.5,27.5,0.08,0.125,0.0,19.0,2.5634797778466227,0.2132007163556105,2.301890809465405,7.543381032574015,5.907842025866755,1238.9361621378293,12.666894506950644,0.09052994529806696,0.23651556056549508,0.19007858935153674,14.664502004760307
Brighton,1.4642857142857142,0.10714285714285714,2.7857142857142856,3.75,2.2857142857142856,1339.642857142857,21.214285714285715,0.09214285714285712,0.22964285714285712,0.1375,14.928571428571429,1.0,0.0,2.0,2.0,1.0,1056.0,23.0,0.03,0.15500000000000003,0.095,11.5,1.710147120748146,0.314970394174356,2.6297041497750113,4.687453703475078,3.1723007523707563,946.3533994305492,10.83327228310026,0.12482156576659051,0.23230698308818526,0.14584682477276045,10.721831557978886
Chelsea,1.8076923076923077,0.07692307692307693,3.8846153846153846,4.153846153846154,2.3461538461538463,1441.6153846153845,21.26923076923077,0.115,0.24307692307692305,0.12615384615384614,16.076923076923077,1.0,0.0,2.5,2.0,1.0,1117.5,20.5,0.07,0.15000000000000002,0.06,13.0,2.2981597989562133,0.271746488194703,3.4097146282575967,5.738935843463022,3.6654310272305786,1125.1496283400916,12.343606255248721,0.12646738710039043,0.25593388569346154,0.15344254750431963,12.902474419809797
Crystal Palace,1.7272727272727273,0.18181818181818182,3.5,3.909090909090909,2.1818181818181817,1690.8636363636363,25.136363636363637,0.09818181818181819,0.23363636363636361,0.13636363636363635,18.863636363636363,1.0,0.0,2.0,2.0,1.0,1743.0,31.0,0.05,0.14500000000000002,0.04,19.0,2.2924683760984044,0.3947710169758613,3.446875742023838,5.1446605784572865,3.567530340063379,1183.0935757964833,12.06054351829593,0.14782990108120772,0.3003735048639318,0.1830572498153425,14.119542197304837
Everton,1.2272727272727273,0.09090909090909091,3.6363636363636362,3.0,1.7727272727272727,1700.2272727272727,24.5,0.08227272727272728,0.1809090909090909,0.09863636363636362,18.954545454545453,1.0,0.0,4.0,2.0,1.0,1582.5,25.5,0.05,0.1,0.035,17.0,1.4778303975702638,0.29424494316824984,2.3613042107609887,2.8619008002508037,2.5058373409343195,960.5369000531089,9.743129447388627,0.11351239991765188,0.185238818592162,0.13317712711328167,11.21426503430966
Fulham,1.9130434782608696,0.08695652173913043,3.4782608695652173,4.217391304347826,2.3043478260869565,1632.3478260869565,25.695652173913043,0.09391304347826088,0.24608695652173915,0.15130434782608695,18.17391304347826,1.0,0.0,3.0,2.0,0.0,1772.0,29.0,0.08,0.1,0.0,18.0,2.62701080522159,0.28810406552003043,3.0876523181771396,4.8799825049903465,3.495903870748992,1057.4455330351386,10.381078865848787,0.10907625066208511,0.28025538889368845,0.22287999926226273,12.604660660078528
Ipswich Town,0.8666666666666667,0.16666666666666666,3.1,2.033333333333333,1.1666666666666667,1245.7666666666667,19.766666666666666,0.06266666666666668,0.14766666666666664,0.08566666666666668,13.933333333333334,0.5,0.0,2.0,1.5,0.0,1081.0,18.5,0.015,0.095,0.0,12.0,1.0742546199601597,0.3790490217894517,2.844838035508501,2.760351468542558,2.3205726601992813,868.0861900372182,9.978194617068358,0.09066548342703232,0.1692311892125646,0.13808251739157787,10.42521258638232
